len_payload,num_special_chars,has_http,num_script_tags,num_iframe_tags,num_img_tags,num_svg_tags,num_body_tags,has_javascript_protocol,has_alert,has_onerror,has_onload,has_onmouseover,has_onclick,has_eval,Label
39,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
100,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0
43,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
123,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0
33,4,0,0,0,0,0,0,0,1,1,0,0,0,0,0.0
55,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
33,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1.0
885,77,1,0,0,0,0,0,0,0,0,0,0,0,0,1.0
50,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0.0
